10.2 Monthly Average Wholesale Price- 2018,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,(Per Quintal/Taka),Sl no,Name of Comodity,Year-2018,241,",,",Khesari,"2,979","3,060","3,080","3,077","3,069","3,170","3,151","3,098","3,042","3,105","3,100","3,094",SL:,Name of crops,2012-2013,2013-14,2014-15,2015-16,2016-17,2017-18
(Per Quintal/Taka),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sl no,Name of Comodity,,Year-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Til,"3,216","3,221","3,183","3,225","3,259","3,200","3,233","3,233","3,267","3,285","3,267","3,283",,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"3,239",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Others,"3,512","3,417","3,567","3,583","3,688","3,627","3,577","3,728","3,682","3,609","3,577","3,649",,61,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"3,601",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spices,Onion Local,"5,550","4,200","3,200","2,724","3,548","3,437","3,926","4,646","4,161","3,586","2,978","2,168",,62,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"3,677",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name of Comodity,,Year-2018,,,,,,,,,,,,,Sl no,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",",, Import","5,491","4,112","2,685","2,174","2,396","2,208","2,671","2,900","2,397","2,383","2,182","1,824",,63,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"2,785",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Garlic Local,"5,300","5,227","3,686","4,393","5,080","4,844","4,690","4,640","4,229","3,897","3,782","3,436",,64,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"4,434",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",",, Import","7,341","8,586","8,261","8,057","8,430","6,675","6,344","5,773","5,356","5,086","5,473","5,269",,65,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"6,721",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Dry Chili,"14,207","14,944","14,890","14,962","15,221","15,247","15,619","15,987","16,081","16,085","16,011","16,030",,66,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"15,440",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Green Chili,"5,162","4,163","3,229","2,455","2,807","3,765","8,788","7,817","4,850","4,432","3,039","2,767",,67,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"4,439",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Ginger Local,"6,677","6,284","6,518","6,546","8,362","8,231","8,657","10,194","11,193","11,166","10,476","9,511",,68,,,,,,,,,,,,,,,,,,,,,,,,,,
